"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 11:41:10 GMT 2022","Tue Sep 27 11:41:19 GMT 2022","9381","","Test01FormPage","","Test01FormPage","testEmailFieldMissingAt","testEmailFieldMissingAt()","Az email címben @ szimbólum validációja"
"failed","Tue Sep 27 11:41:51 GMT 2022","Tue Sep 27 11:41:54 GMT 2022","3603","","Test02SummaryPage","","Test02SummaryPage","testFirstNameOnSummary","testFirstNameOnSummary()","Keresztnév mezőbe beírt adat megjelenése az összegző felületen."
"passed","Tue Sep 27 11:40:58 GMT 2022","Tue Sep 27 11:41:01 GMT 2022","2477","","Test01FormPage","","Test01FormPage","testLastNameFieldEmpty","testLastNameFieldEmpty()","Üres Vezetéknév mező validálása"
"failed","Tue Sep 27 11:41:29 GMT 2022","Tue Sep 27 11:41:32 GMT 2022","3492","","Test01FormPage","","Test01FormPage","testPasswordFieldMasking","testPasswordFieldMasking()","Jelszó mező és a jelszó megerősítése mező maszkolása csillag karaktertípusokkal"
"failed","Tue Sep 27 11:41:54 GMT 2022","Tue Sep 27 11:41:58 GMT 2022","3582","","Test02SummaryPage","","Test02SummaryPage","testLastNameOnSummary","testLastNameOnSummary()","Vezetéknév mezőbe beírt adat megjelenése az összegző felületen."
"failed","Tue Sep 27 11:41:19 GMT 2022","Tue Sep 27 11:41:29 GMT 2022","9683","","Test01FormPage","","Test01FormPage","testPasswordFieldConfirmationDifferent","testPasswordFieldConfirmationDifferent()","Jelszó mező és a jelszó megerősítése mező különböző jelszavak elfogadásának validációja"
"failed","Tue Sep 27 11:41:42 GMT 2022","Tue Sep 27 11:41:51 GMT 2022","9352","","Test01FormPage","","Test01FormPage","testEmailFieldMissingDot","testEmailFieldMissingDot()","Az email címben . karakter validációja"
"failed","Tue Sep 27 11:41:32 GMT 2022","Tue Sep 27 11:41:42 GMT 2022","9368","","Test01FormPage","","Test01FormPage","testLastNameFieldNumber","testLastNameFieldNumber()","Vezetéknév mező szám típusú karakter elfogadásának ellenőrzése"
"failed","Tue Sep 27 11:41:01 GMT 2022","Tue Sep 27 11:41:10 GMT 2022","8756","","Test01FormPage","","Test01FormPage","testFirstNameFieldMaxChar1","testFirstNameFieldMaxChar1()","""Keresztnév mező maximális karakter hossz ellenőrzése. 
Maximálisan megengedett 32 karakter.
Tesztelés 33 karakterrel."""
"failed","Tue Sep 27 11:40:42 GMT 2022","Tue Sep 27 11:40:58 GMT 2022","16528","","Test01FormPage","","Test01FormPage","testBirthDateFutureMan","testBirthDateFutureMan()","Születési Dátum mező
ez itt egy jövőmenő."
